Município,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IPIRA,121784.23,160047.42,180107.49,223695.12,266944.63,286318.94,335033.41,364103.78,382855.35,375498.04,388243.01,380479.42,490294.34
IPORÃ DO OESTE,743279.87,831890.26,1064911.39,1317065.02,1478720.4,1670034.99,1772195.42,1922511.95,2096661.23,2284144.83,2526977.09,2682331.24,3085327.61
IPUAÇU,325294.52,366240.41,480585.36,473183.05,1031360.15,1377830.2,1908886.79,1951830.69,2144737.79,2021491.38,2429010.45,2404546.07,2784220.65
IPUMIRIM,1638709.57,2004432.67,2691744.7,2873297.03,3171084.15,3762634.88,4295522.28,4405608.68,4561655.84,4798731,5147215.63,5608520.45,6367758.66
IRACEMINHA,116171.1,138054.82,161771.36,152310.75,179543.76,185678.94,201382.44,210595.39,230953.84,262588.87,291791.52,338366.12,477791.38
IRANI,758073.75,873964.7,1051137.41,1235073.92,1458628.31,1663460.45,1611533.02,1778805.34,1943122.89,1986498.51,2218885.75,2211950.53,2952136.24
IRATI,78591.91,99294.34,116139.01,173307.13,176234.84,184535.52,185396.13,245284.57,265763.19,274323.65,364915.14,701337.48,733154.34
IRINEÓPOLIS,382628.75,440954.97,473036.53,608141.01,667404.82,875482.56,935721.44,1046542.66,1060246.32,1235444.85,1253773.23,1375321.67,1664403.37
ITÁ,1078799.68,3616763.51,1292497.48,1428245.21,1701863.02,1912004.62,2089756.5,2320798.27,2570373.93,2668637.28,2768649.05,2902606.26,3440605.29
ITAIÓPOLIS,1989518.28,2433397.5,2701691.59,3795064.52,4714004.08,5303734.63,5686079.21,5742054.27,5762231.86,5955587,5597051.27,6171393.77,8654949.86
ITAJAÍ,65497956.04,80634230.49,95424513.38,108665873.75,124460918.1,151747648.72,155551147.17,158628501.92,170156533.49,175992286.26,186811206.26,200969588.14,249211960.08
ITAPEMA,6587515.3,8477509.25,10841633.16,13622935.14,15725249.08,18551576.65,20981366.8,23235261.01,25797504.42,30695446.96,32115834.63,34875342.73,46730170.79
ITAPIRANGA,4690988.62,5229859.91,5554557.02,6114999.26,6541770.65,7197228.36,7984474.06,9188158.64,9576130.56,10471612.39,11944265.89,12465275.1,14348331.97
