,Município,1991,2000,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,BOM JESUS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2563.0,2599.0,2721.0,2771.0,2821.0,2870.0,2919.0,2961.0,3010.0,3057.0,3104.0
84,BOM JESUS DO OESTE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2131.0,2130.0,2160.0,2158.0,2156.0,2153.0,2151.0,2146.0,2142.0,2139.0,2136.0
85,BOM JESUS DO SUL,3824.0,3800.0,3777.0,3755.0,3733.0,3577.0,3541.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3769.0,3742.0,-1.0
86,BOM RETIRO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9017.0,9090.0,9397.0,9498.0,9598.0,9698.0,9796.0,9870.0,9966.0,10060.0,10153.0
87,BOM SUCESSO,6866.0,6906.0,6944.0,6982.0,7019.0,6995.0,7032.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6591.0,6620.0,-1.0
88,BOM SUCESSO DO SUL,3372.0,3368.0,3365.0,3361.0,3358.0,3274.0,3264.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3286.0,3279.0,-1.0
89,BOMBINHAS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14722.0,15136.0,16311.0,16897.0,17477.0,18052.0,18623.0,19193.0,19769.0,20335.0,20889.0
90,BORRAZÓPOLIS,7724.0,7608.0,7497.0,7387.0,7280.0,6749.0,6592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7758.0,7641.0,-1.0
91,BOTUVERÁ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4527.0,4584.0,4785.0,4864.0,4943.0,5022.0,5100.0,5169.0,5246.0,5322.0,5396.0
92,BRAÇO DO NORTE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29351.0,29672.0,30868.0,31319.0,31765.0,32209.0,32648.0,33016.0,33450.0,33876.0,34294.0
93,BRAÇO DO TROMBUDO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3478.0,3498.0,3599.0,3627.0,3654.0,3682.0,3709.0,3718.0,3743.0,3769.0,3794.0
94,BRAGANEY,5799.0,5770.0,5742.0,5714.0,5687.0,5473.0,5427.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5700.0,5667.0,-1.0
95,BRASILÂNDIA DO SUL,3136.0,3086.0,3037.0,2990.0,2943.0,2719.0,2651.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3157.0,3107.0,-1.0
