municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
CAMBORIÚ,0,0,63967,63967,65520,70068,72261,74434,76592,78731,80834,82989,85105,6655455.8,7874880,9527382.12,12269037.46,12604922.02,13445047.9,13864971.04,14772993.56,18190207.47,17871245.45,17896170.82,581748900,673783000,777494600,849907100,1013982000,1126513000,1211402000,1350979000,1501132000,1684153000,1828301000,5960,6626,7076,8005,7805,7719,7281,7475,8503,8736,9122,1509
CAMPO ALEGRE,1,86,11757,11757,11766,11972,11982,11992,12002,12012,11974,11978,11981,2281833.35,2975207.76,4282237.84,5528254.25,6433606.59,6550966.02,6757693.09,8038629.51,9257590.66,9927291.53,10535204.15,200338100,265964700,239911300,278921100,356805000,335093000,389858300,456443600,490997700,559588000,562758000,2105,2801,3358,3672,3895,3474,3586,4064,4182,4456,4526,6283
CAMPO BELO DO SUL,1,6342,7440,7440,7398,7419,7358,7297,7237,7177,7081,7016,6952,728057.02,809586.24,805337.28,1088450.94,1262854.22,1419305.54,1451905.7,1620202.82,1784005.13,1597242.5,1574161.51,109079400,132470200,139215800,148617500,148604700,167985800,213741300,219724900,228163000,228816000,234898000,804,821,785,908,939,950,911,916,983,772,935,2297
CAMPO ERÊ,0,0,9295,9295,9222,9203,9098,8993,8890,8787,8636,8526,8418,794617.78,884308.7,1067585.08,1218193.66,1471059.87,1716450.68,1797682.8,2194113.37,2402404.53,2547794.51,2827360.18,194818900,178035300,236213600,284979900,228639900,232323000,266885200,265130800,293752600,278432000,330921000,993,1006,1058,1068,1209,1229,1251,1428,1505,1524,1589,2548
CAMPOS NOVOS,1,1134,33073,33073,33313,34386,34721,35054,35383,35710,35930,36244,36556,6692273.1,8397534.34,10112405.1,12162228.59,13723211.8,16458792.05,17187512.22,17395576.89,18125743.27,20036807.13,21205469.52,1307033000,1412611000,1545230000,1669360000,1725100000,1889322000,1952635000,1965649000,1948611000,2194251000,2436870000,6031,7000,7455,7818,8300,8642,8535,8298,8297,8743,9040,175
CANELINHA,0,0,10726,10726,10845,11286,11452,11617,11781,11944,12080,12240,12398,2130013.45,2378891.69,2587079.52,2967434.6,3103489.32,3302073.58,3110861.87,3388827.73,3413931.29,3773247.01,3858065.52,129365900,129511900,143960800,161170600,185506500,177358400,165499700,177572800,189951800,206053000,215240000,2068,2157,2070,2133,2061,1994,1734,1887,1817,1955,1989,1546
CANOINHAS,0,0,52853,52853,52937,53969,54079,54188,54296,54403,54319,54401,54480,8562701.92,9536217.37,10981038.03,12662332.68,14983425.1,15429022.11,16273015.96,17302247.88,18108103.98,19049054.52,21193324.88,982357100,1103532000,1217087000,1377032000,1437868000,1464295000,1452117000,1591335000,1702047000,1756153000,1865146000,8405,8791,8993,9094,9583,9261,8985,9131,9108,9370,10045,361
CAPÃO ALTO,0,0,2733,2733,2713,2711,2682,2654,2625,2597,2556,2525,2496,269724.06,332111.16,375974.28,399978.27,480614.08,507681.63,657258.93,619940.78,718336.76,591856.05,754317.87,43105510,54378600,86860930,99801210,70681400,82723570,107709500,101045000,118404200,136810000,157629000,300,327,341,303,325,320,346,334,398,405,414,7827
CAPINZAL,0,0,20919,20919,21064,21726,21928,22129,22327,22524,22658,22848,23035,8603861.04,10245736.76,10469499.22,11381812.28,11959104.78,13873292.36,14722983.56,16203748.73,16272338.17,18455376.17,19025907.24,430395900,492701400,526881200,556716800,763884500,748653000,786849500,838098300,833963600,949033000,961809000,8054,8361,8227,8194,8070,7809,7580,7829,7710,8358,8878,254
CAPIVARI DE BAIXO,0,0,21913,21913,22145,23018,23342,23663,23982,24298,24559,24871,25177,4689312.63,5559380.42,6518911.32,7386582.93,7730027.35,7941238.61,6670985.49,7266207.86,8080032.9,8433393.47,9396094.84,676627000,634087900,771381800,817911400,705393100,559625500,634459900,429810800,783870900,916317000,1271714000,2876,3127,3359,3482,3364,3292,3046,3017,3175,3234,3496,147
