municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
UNIÃO DO OESTE,0,0,2874,2874,2838,2802,2751,2700,2650,2600,2517,2464,2412,121601.62,141976.16,177542.3,178786.05,209369.53,198875.63,251291.09,244271.68,270699.88,288482.57,312351.7,69791040,87910810,94104660,105939700,50152110,51960610,56905230,60672370,59537440,65785000,76590000,140,152,170,167,186,152,161,149,165,158,162,389
URUBICI,9,55557,10734,10734,10767,11012,11058,11102,11147,11191,11195,11235,11273,636336.06,685457.35,785912.91,975084.2,1175810.13,1281781.53,1398457.14,1512029.69,1644778.33,1673130.07,1764582.54,149489100,155357100,154540500,209063600,208630400,219599000,260335500,232355900,250464500,296615000,328777000,848,828,870,958,1007,992,989,1055,1043,1101,1151,193
URUPEMA,2,5291,2479,2479,2476,2507,2502,2497,2492,2487,2472,2465,2459,123743.07,185468.86,172036.88,233810.7,256856.04,249114.32,291128.03,336241.24,327754.79,335473.88,484397.39,32839930,34524900,37811650,42607370,51616980,49490940,66077240,68706940,54676740,66614000,75587000,146,179,187,221,223,191,195,204,202,193,243,380
URUSSANGA,0,0,20291,20291,20356,20826,20915,21003,21090,21177,21190,21268,21344,6654782.47,7763488.46,8786735.68,10532053.57,11199752.54,11727613.71,12000748.42,11388253.22,13346916.58,13399060.99,15280584.89,446479600,527613400,542993000,613146500,760681400,737693600,739256700,794659000,835696600,834663000,913785000,5460,5706,5991,6540,6334,5824,5490,5274,5574,5627,6268,561
VARGEÃO,0,0,3533,3533,3533,3590,3590,3590,3590,3590,3575,3573,3571,718388.21,714893.62,778142.58,1013145.25,1164459.97,1212497.23,1330282.48,1542073.51,1716565.56,1881244.97,1971453.71,168042700,257596800,316382800,294680000,112765600,112412700,115015900,133068600,131915700,141077000,166921000,737,770,784,872,863,818,800,871,887,944,947,6964
VARGEM,0,0,2776,2776,2746,2718,2674,2630,2586,2543,2522,2477,2432,100421.88,110913.96,112036.77,196607.11,2183248.7,1984859.1,348669.45,293902.38,273464.34,327554.82,280826.23,31532610,34088130,39160460,47188180,110495000,111497600,58995210,59496340,61414170,65731000,64360000,133,145,138,149,1078,976,183,146,143,166,162,484
VARGEM BONITA,1,285,4765,4765,4738,4752,4713,4674,4635,4597,4534,4492,4451,2160629.68,2492952.71,2578419.31,2932095.26,3372143.15,3734200.31,3724386.43,3890812.52,4209131.69,4251963.28,4601436.68,227434200,246402200,241763100,253574100,315448100,326300000,338264600,383954400,392371400,444100000,517713000,1385,1412,1300,1325,1418,1469,1422,1468,1500,1461,1592,488
VIDAL RAMOS,3,57447,6287,6287,6284,6377,6372,6366,6361,6356,6347,6338,6329,539261.27,796673.32,874689.88,965478.8,1109994.46,1100176.49,1152776.72,1246096.49,1351628.51,1326747.7,1435753.5,112126600,133762900,185620800,211483500,229270300,242840400,244270900,262229800,287462300,286152000,322853000,503,592,611,623,662,619,593,631,654,625,621,9354
VIDEIRA,1,16,47618,47618,48064,49768,50349,50926,51499,52066,52510,53065,53610,19706029.47,21689059.46,23525393.82,26783429.48,29904379.05,32558559,33965084.78,35926013.12,39015442.09,41362404.75,44312474.29,1321930000,1481946000,1558188000,1654509000,2052274000,2055978000,2145344000,2230367000,2427864000,2702064000,2967393000,16989,16994,16792,17213,17306,17246,16590,16762,17657,18647,19463,317
VITOR MEIRELES,1,5016,5184,5184,5160,5190,5156,5123,5089,5056,5014,4979,4943,606307.33,659976.26,827786.99,1024760.17,1156264.31,1235935.95,1333946.64,1406766.18,1364416.72,1490401.63,1391417.62,70884620,67576190,76631820,83634660,92504600,94528440,102761000,117875700,118550500,118888000,128682000,582,602,676,745,776,819,825,816,771,827,794,4047
WITMARSUM,0,0,3627,3627,3653,3769,3805,3841,3876,3912,3932,3965,3998,677475.44,755527.79,967219.76,1212159.04,1532836.25,1600320.24,1790592.23,1888695.31,2069808.82,2206656.64,2156702.57,66342250,67950760,72938520,84680440,95820720,95988600,108866000,120885500,129232600,131465000,143671000,705,733,818,873,1022,1005,988,1014,1040,1054,1063,297
XANXERÊ,0,0,44643,44643,45140,46981,47679,48370,49057,49738,50309,50982,51642,11536317.38,13186858.68,15277349.68,16303473.3,19312896.03,20965992.53,23321483.35,23903521.61,24733365.72,25516778.81,26379365.15,1041491000,1242075000,1318268000,1319706000,1477791000,1458213000,1530245000,1604050000,1703710000,1896873000,2185610000,10389,10776,11218,11025,11636,11804,12045,11826,11703,12004,11884,769
XAVANTINA,0,0,4122,4122,4103,4124,4095,4067,4039,4012,3963,3933,3903,223404.39,314145.94,293282.98,376485.36,455984.15,522347.86,538000.05,526671.15,479223.4,565453.7,343038.61,91944330,97463230,92486740,112955900,141825300,171769900,185723600,183022300,216185400,157893000,175583000,261,342,275,300,327,339,317,305,278,314,189,305
XAXIM,0,0,25933,25933,26145,27039,27336,27630,27921,28210,28424,28706,28983,6778227.43,7906581.45,7192216.13,9334057.69,12058124.65,13451102.95,14863316.52,16419971.57,17698568.85,19079055.11,20765663.52,579348900,594177600,595003400,778413800,779071100,812945200,845678200,927591700,947824800,1038423000,1108167000,7314,7737,6623,7295,8327,8363,8531,8608,9129,9381,10109,916
ZORTÉA,1,0,3019,3019,3046,3153,3190,3227,3264,3300,3328,3363,3398,105464.19,103652.9,124856.47,147279.12,155165.35,179045.2,199117.11,245893.62,272943.49,276073.45,234291.32,35327220,40530800,41102530,52344880,59500900,61737490,66969360,69088820,71184890,82422000,81851000,128,117,130,130,125,130,132,153,167,163,131,490
